"year","month","month_name","day","date","day_of_week","day_of_week_num","carrier","airline_name","flight","tailnum","origin","dest","sched_dep_time","dep_time","dep_delay","dep_delay_flag","sched_arr_time","arr_time","arr_delay","arr_delay_flag","on_time","delay_category","air_time","distance","time_period"
2020,3,"Mar",7,2020-03-07,"Sat",7,"B6","JetBlue","B63376","N13533","DCA","SYR",704,658,-6,0,745,703,-2,0,1,"Early/On-Time",41,325,"Early Morning"
2021,6,"Jun",8,2021-06-08,"Tue",3,"UA","United","UA6474","N81997","DCA","ATL",752,754,2,0,873,824,-9,0,1,"Early/On-Time",81,646,"Early Morning"
2023,4,"Apr",2,2023-04-02,"Sun",1,"AA","American","AA241","N20814","DCA","SLC",1643,1643,0,0,1973,1979,6,0,1,"Slightly Late",210,1676,"Afternoon"
2021,12,"Dec",2,2021-12-02,"Thu",5,"UA","United","UA1780","N75074","DCA","SFO",1645,1648,3,0,2083,2085,2,0,1,"Slightly Late",278,2225,"Afternoon"
2020,8,"Aug",16,2020-08-16,"Sun",1,"AA","American","AA7263","N53993","DCA","RDU",1233,1238,5,0,1365,1375,10,0,1,"Slightly Late",92,738,"Afternoon"
2024,10,"Oct",15,2024-10-15,"Tue",3,"B6","JetBlue","B62772","N90135","DCA","TUS",1331,1332,1,0,1449,1454,5,0,1,"Slightly Late",78,627,"Afternoon"
2019,3,"Mar",10,2019-03-10,"Sun",1,"UA","United","UA2451","N61455","DCA","LAS",1110,1134,24,1,1369,1394,25,1,0,"Delayed",179,1433,"Morning"
2024,6,"Jun",12,2024-06-12,"Wed",4,"B6","JetBlue","B67499","N92308","DCA","TUS",1921,1927,6,0,2051,2009,-2,0,1,"Early/On-Time",90,716,"Evening"
2020,12,"Dec",20,2020-12-20,"Sun",1,"UA","United","UA245","N46761","DCA","DAL",1858,1858,0,0,1886,1886,0,0,1,"Early/On-Time",28,222,"Evening"
2022,7,"Jul",16,2022-07-16,"Sat",7,"AS","Alaska","AS216","N66128","DCA","DFW",1057,1016,-1,0,1285,1242,-3,0,1,"Early/On-Time",148,1180,"Morning"
2022,10,"Oct",31,2022-10-31,"Mon",2,"AA","American","AA6971","N91768","DCA","TPA",2108,2120,12,0,2154,2162,8,0,1,"Slightly Late",46,368,"Night"
2022,6,"Jun",20,2022-06-20,"Mon",2,"AA","American","AA8353","N84447","DCA","BDL",1009,963,-6,0,1057,1005,-12,0,1,"Early/On-Time",48,384,"Morning"
2020,11,"Nov",20,2020-11-20,"Fri",6,"NK","Spirit","NK5800","N65757","DCA","MEM",746,698,-8,0,795,741,-14,0,1,"Early/On-Time",49,391,"Early Morning"
2024,11,"Nov",15,2024-11-15,"Fri",6,"AA","American","AA3320","N32150","DCA","ROC",842,800,-2,0,967,918,-9,0,1,"Early/On-Time",85,677,"Early Morning"
2020,9,"Sep",27,2020-09-27,"Sun",1,"DL","Delta","DL3923","N59427","DCA","MEM",810,768,-2,0,939,949,10,0,1,"Slightly Late",89,714,"Early Morning"
2023,10,"Oct",9,2023-10-09,"Mon",2,"AA","American","AA3193","N56387","DCA","TUS",1212,1212,0,0,1324,1325,1,0,1,"Slightly Late",72,573,"Afternoon"
2021,5,"May",4,2021-05-04,"Tue",3,"AA","American","AA2020","N83231","DCA","IND",1029,987,-2,0,1143,1096,-7,0,1,"Early/On-Time",74,595,"Morning"
2021,3,"Mar",15,2021-03-15,"Mon",2,"UA","United","UA8160","N16840","DCA","CHS",1153,1112,-1,0,1179,1136,-3,0,1,"Early/On-Time",26,210,"Morning"
2024,8,"Aug",31,2024-08-31,"Sat",7,"AA","American","AA4318","N89118","DCA","SLC",1604,1608,4,0,1946,1904,-2,0,1,"Early/On-Time",222,1780,"Afternoon"
2023,10,"Oct",27,2023-10-27,"Fri",6,"AA","American","AA7690","N73137","DCA","MEM",1249,1199,-10,0,1369,1319,-10,0,1,"Early/On-Time",80,642,"Afternoon"
2023,11,"Nov",30,2023-11-30,"Thu",5,"B6","JetBlue","B61136","N71042","DCA","SEA",750,707,-3,0,1197,1150,-7,0,1,"Early/On-Time",287,2298,"Early Morning"
2019,3,"Mar",19,2019-03-19,"Tue",3,"DL","Delta","DL9756","N96162","DCA","MSP",750,765,15,0,990,997,7,0,1,"Slightly Late",160,1282,"Early Morning"
2019,8,"Aug",18,2019-08-18,"Sun",1,"NK","Spirit","NK211","N36599","DCA","MIA",1029,1029,0,0,1179,1180,1,0,1,"Slightly Late",110,882,"Morning"
2022,7,"Jul",19,2022-07-19,"Tue",3,"WN","Southwest","WN4798","N62121","DCA","HOU",1755,1761,6,0,1797,1806,9,0,1,"Slightly Late",42,334,"Evening"
2024,10,"Oct",22,2024-10-22,"Tue",3,"AA","American","AA1789","N12089","DCA","GEG",604,614,10,0,735,753,18,1,0,"Delayed",91,729,"Early Morning"
2019,1,"Jan",27,2019-01-27,"Sun",1,"F9","Frontier","F93861","N20948","DCA","PVD",644,647,3,0,750,752,2,0,1,"Slightly Late",66,529,"Early Morning"
2021,9,"Sep",9,2021-09-09,"Thu",5,"UA","United","UA8561","N86531","DCA","ABQ",1345,1304,-1,0,1458,1461,3,0,1,"Slightly Late",73,587,"Afternoon"
2020,9,"Sep",2,2020-09-02,"Wed",4,"DL","Delta","DL7269","N98762","DCA","ELP",1107,1120,13,0,1148,1160,12,0,1,"Slightly Late",41,330,"Morning"
2023,10,"Oct",28,2023-10-28,"Sat",7,"AS","Alaska","AS8563","N78087","DCA","DTW",831,842,11,0,857,864,7,0,1,"Slightly Late",26,211,"Early Morning"
2023,8,"Aug",21,2023-08-21,"Mon",2,"DL","Delta","DL9601","N84593","DCA","SAN",1236,1194,-2,0,1688,1640,-8,0,1,"Early/On-Time",292,2340,"Afternoon"
2019,7,"Jul",20,2019-07-20,"Sat",7,"DL","Delta","DL4979","N53537","DCA","MEM",1818,1824,6,0,1941,1953,12,0,1,"Slightly Late",83,667,"Evening"
2019,10,"Oct",20,2019-10-20,"Sun",1,"UA","United","UA6833","N59938","DCA","MEM",1428,1387,-1,0,1479,1479,0,0,1,"Early/On-Time",51,408,"Afternoon"
2019,8,"Aug",24,2019-08-24,"Sat",7,"DL","Delta","DL2874","N10769","DCA","ROC",1212,1169,-3,0,1340,1299,-1,0,1,"Early/On-Time",88,703,"Afternoon"
2020,4,"Apr",30,2020-04-30,"Thu",5,"AA","American","AA9399","N22509","DCA","ELP",1818,1833,15,0,1936,1963,27,1,0,"Delayed",78,626,"Evening"
2023,11,"Nov",25,2023-11-25,"Sat",7,"AA","American","AA945","N31765","DCA","HOU",616,633,17,1,669,685,16,1,0,"Delayed",53,421,"Early Morning"
2023,12,"Dec",14,2023-12-14,"Thu",5,"AA","American","AA2293","N29747","DCA","MIA",1909,1868,-1,0,2047,2050,3,0,1,"Slightly Late",98,780,"Evening"
2024,7,"Jul",26,2024-07-26,"Fri",6,"DL","Delta","DL1757","N37386","DCA","SYR",2151,2108,-3,0,2283,2238,-5,0,1,"Early/On-Time",92,739,"Night"
2023,11,"Nov",24,2023-11-24,"Fri",6,"NK","Spirit","NK4022","N63713","DCA","TUS",1644,1654,10,0,1676,1693,17,1,0,"Delayed",32,252,"Afternoon"
2019,1,"Jan",8,2019-01-08,"Tue",3,"NK","Spirit","NK3091","N73732","DCA","GEG",1519,1476,-3,0,1645,1599,-6,0,1,"Early/On-Time",86,688,"Afternoon"
2021,12,"Dec",12,2021-12-12,"Sun",1,"DL","Delta","DL1670","N78037","DCA","ABQ",859,815,-4,0,887,894,7,0,1,"Slightly Late",28,228,"Early Morning"
2021,5,"May",9,2021-05-09,"Sun",1,"F9","Frontier","F99969","N97516","DCA","TPA",1900,1904,4,0,1926,1930,4,0,1,"Slightly Late",26,205,"Evening"
2021,8,"Aug",14,2021-08-14,"Sat",7,"AA","American","AA6180","N11956","DCA","OMA",1633,1668,35,1,1740,1779,39,1,0,"Delayed",67,536,"Afternoon"
2024,1,"Jan",22,2024-01-22,"Mon",2,"AA","American","AA9980","N22514","DCA","PVD",1950,1906,-4,0,2050,2005,-5,0,1,"Early/On-Time",60,478,"Evening"
2020,2,"Feb",21,2020-02-21,"Fri",6,"UA","United","UA7071","N78880","DCA","LGA",717,722,5,0,764,783,19,1,0,"Delayed",47,376,"Early Morning"
2020,3,"Mar",19,2020-03-19,"Thu",5,"WN","Southwest","WN9567","N12076","DCA","MSP",902,858,-4,0,1058,1006,-12,0,1,"Early/On-Time",116,924,"Morning"
2022,2,"Feb",17,2022-02-17,"Thu",5,"AA","American","AA5838","N56154","DCA","SYR",2157,2116,-1,0,2265,2214,-11,0,1,"Early/On-Time",68,542,"Night"
2023,4,"Apr",4,2023-04-04,"Tue",3,"NK","Spirit","NK5047","N15060","DCA","BOI",636,644,8,0,661,675,14,0,1,"Slightly Late",25,201,"Early Morning"
2021,4,"Apr",27,2021-04-27,"Tue",3,"B6","JetBlue","B66376","N73570","DCA","TUS",1922,1939,17,1,1955,1972,17,1,0,"Delayed",33,267,"Evening"
2022,6,"Jun",21,2022-06-21,"Tue",3,"WN","Southwest","WN3945","N87001","DCA","PVD",1943,1896,-7,0,1989,1942,-7,0,1,"Early/On-Time",46,372,"Evening"
2024,3,"Mar",23,2024-03-23,"Sat",7,"DL","Delta","DL5137","N80560","DCA","ROC",941,898,-3,0,971,978,7,0,1,"Slightly Late",30,243,"Morning"
2023,12,"Dec",7,2023-12-07,"Thu",5,"AA","American","AA1285","N80066","DCA","DAL",1818,1831,13,0,1945,1965,20,1,0,"Delayed",87,695,"Evening"
2023,1,"Jan",21,2023-01-21,"Sat",7,"B6","JetBlue","B67754","N33689","DCA","PVD",1831,1832,1,0,1936,1891,-5,0,1,"Early/On-Time",65,521,"Evening"
2021,7,"Jul",3,2021-07-03,"Sat",7,"B6","JetBlue","B66904","N38271","DCA","SLC",1146,1148,2,0,1481,1440,-1,0,1,"Early/On-Time",215,1719,"Morning"
2021,10,"Oct",10,2021-10-10,"Sun",1,"DL","Delta","DL2687","N98441","DCA","STL",2131,2133,2,0,2171,2130,-1,0,1,"Early/On-Time",40,323,"Night"
2022,1,"Jan",5,2022-01-05,"Wed",4,"AA","American","AA674","N93690","DCA","SYR",2107,2060,-7,0,2216,2169,-7,0,1,"Early/On-Time",69,553,"Night"
2024,2,"Feb",22,2024-02-22,"Thu",5,"AA","American","AA5692","N76471","DCA","HOU",1452,1558,66,1,1581,1694,73,1,0,"Severely Delayed",89,713,"Afternoon"
2019,11,"Nov",5,2019-11-05,"Tue",3,"UA","United","UA9652","N62563","DCA","MIA",914,914,0,0,1056,1014,-2,0,1,"Early/On-Time",102,819,"Morning"
2019,4,"Apr",28,2019-04-28,"Sun",1,"B6","JetBlue","B6298","N35351","DCA","LGA",2130,2086,-4,0,2184,2140,-4,0,1,"Early/On-Time",54,434,"Night"
2022,8,"Aug",11,2022-08-11,"Thu",5,"AS","Alaska","AS6089","N65415","DCA","ORD",623,727,64,1,838,949,71,1,0,"Severely Delayed",135,1079,"Early Morning"
2022,5,"May",1,2022-05-01,"Sun",1,"F9","Frontier","F92257","N88839","DCA","ATL",722,680,-2,0,844,845,1,0,1,"Slightly Late",82,657,"Early Morning"
2022,4,"Apr",22,2022-04-22,"Fri",6,"DL","Delta","DL4712","N34624","DCA","EWR",1923,1924,1,0,2039,1993,-6,0,1,"Early/On-Time",76,612,"Evening"
2024,5,"May",23,2024-05-23,"Thu",5,"AA","American","AA9167","N60705","DCA","IAH",1217,1174,-3,0,1439,1390,-9,0,1,"Early/On-Time",142,1136,"Afternoon"
2024,4,"Apr",26,2024-04-26,"Fri",6,"AA","American","AA9550","N82149","DCA","ROC",1209,1167,-2,0,1317,1271,-6,0,1,"Early/On-Time",68,542,"Afternoon"
2020,7,"Jul",18,2020-07-18,"Sat",7,"DL","Delta","DL3451","N68944","DCA","SAT",1618,1576,-2,0,1674,1628,-6,0,1,"Early/On-Time",56,446,"Afternoon"
2019,10,"Oct",19,2019-10-19,"Sat",7,"AA","American","AA5550","N53698","DCA","ROC",1157,1115,-2,0,1270,1274,4,0,1,"Slightly Late",73,582,"Morning"
2024,10,"Oct",9,2024-10-09,"Wed",4,"AA","American","AA4417","N99426","DCA","RSW",1512,1470,-2,0,1546,1505,-1,0,1,"Early/On-Time",34,271,"Afternoon"
2019,9,"Sep",19,2019-09-19,"Thu",5,"UA","United","UA392","N37267","DCA","SMF",909,861,-8,0,1011,963,-8,0,1,"Early/On-Time",62,492,"Morning"
2023,10,"Oct",11,2023-10-11,"Wed",4,"NK","Spirit","NK1312","N38142","DCA","EWR",1152,1111,-1,0,1179,1179,0,0,1,"Early/On-Time",27,218,"Morning"
2024,7,"Jul",22,2024-07-22,"Mon",2,"NK","Spirit","NK7930","N78949","DCA","EWR",805,805,0,0,918,918,0,0,1,"Early/On-Time",73,583,"Early Morning"
2020,1,"Jan",20,2020-01-20,"Mon",2,"UA","United","UA5834","N61344","DCA","MCI",1022,981,-1,0,1151,1151,0,0,1,"Early/On-Time",89,715,"Morning"
2020,7,"Jul",24,2020-07-24,"Fri",6,"DL","Delta","DL9848","N74446","DCA","AUS",1039,1139,60,1,1077,1177,60,1,0,"Delayed",38,305,"Morning"
2021,7,"Jul",10,2021-07-10,"Sat",7,"AA","American","AA6661","N52723","DCA","BUF",923,880,-3,0,1030,986,-4,0,1,"Early/On-Time",67,534,"Morning"
2024,12,"Dec",13,2024-12-13,"Fri",6,"NK","Spirit","NK3307","N59097","DCA","ATL",800,812,12,0,939,947,8,0,1,"Slightly Late",99,789,"Early Morning"
2020,11,"Nov",26,2020-11-26,"Thu",5,"AA","American","AA5792","N94849","DCA","GSP",959,962,3,0,1087,1096,9,0,1,"Slightly Late",88,703,"Morning"
2023,10,"Oct",31,2023-10-31,"Tue",3,"DL","Delta","DL3789","N88854","DCA","SAN",1826,1785,-1,0,2329,2287,-2,0,1,"Early/On-Time",303,2425,"Evening"
2024,8,"Aug",12,2024-08-12,"Mon",2,"B6","JetBlue","B61068","N55049","DCA","SAN",1616,1617,1,0,2064,2022,-2,0,1,"Early/On-Time",288,2305,"Afternoon"
2020,2,"Feb",7,2020-02-07,"Fri",6,"UA","United","UA7666","N45124","DCA","CHS",1016,1019,3,0,1050,1054,4,0,1,"Slightly Late",34,276,"Morning"
2023,11,"Nov",24,2023-11-24,"Fri",6,"UA","United","UA9898","N29008","DCA","AUS",1806,1763,-3,0,1916,1924,8,0,1,"Slightly Late",70,562,"Evening"
2023,7,"Jul",15,2023-07-15,"Sat",7,"DL","Delta","DL9851","N29093","DCA","FLL",1438,1467,29,1,1565,1586,21,1,0,"Delayed",87,693,"Afternoon"
2022,8,"Aug",22,2022-08-22,"Mon",2,"AA","American","AA3057","N36871","DCA","DFW",1616,1572,-4,0,1857,1805,-12,0,1,"Early/On-Time",161,1286,"Afternoon"
2019,3,"Mar",25,2019-03-25,"Mon",2,"WN","Southwest","WN1824","N36216","DCA","JAX",2047,2006,-1,0,2152,2158,6,0,1,"Slightly Late",65,523,"Evening"
2022,5,"May",31,2022-05-31,"Tue",3,"AA","American","AA9195","N43012","DCA","IND",2114,2073,-1,0,2151,2152,1,0,1,"Slightly Late",37,294,"Night"
2020,9,"Sep",1,2020-09-01,"Tue",3,"WN","Southwest","WN1030","N83936","DCA","SAV",1154,1108,-6,0,1209,1163,-6,0,1,"Early/On-Time",55,442,"Morning"
2021,11,"Nov",27,2021-11-27,"Sat",7,"WN","Southwest","WN1437","N61026","DCA","MEM",1403,1403,0,0,1443,1446,3,0,1,"Slightly Late",40,316,"Afternoon"
2020,9,"Sep",11,2020-09-11,"Fri",6,"UA","United","UA5549","N64225","DCA","SAV",1638,1596,-2,0,1695,1696,1,0,1,"Slightly Late",57,454,"Afternoon"
2022,6,"Jun",21,2022-06-21,"Tue",3,"UA","United","UA7182","N73924","DCA","MCI",737,759,22,1,769,792,23,1,0,"Delayed",32,255,"Early Morning"
2023,9,"Sep",3,2023-09-03,"Sun",1,"AA","American","AA5217","N90288","DCA","CHS",752,754,2,0,779,730,-9,0,1,"Early/On-Time",27,218,"Early Morning"
2024,2,"Feb",29,2024-02-29,"Thu",5,"AA","American","AA1720","N80056","DCA","DAL",646,603,-3,0,695,697,2,0,1,"Slightly Late",49,393,"Early Morning"
2019,10,"Oct",8,2019-10-08,"Tue",3,"AS","Alaska","AS5722","N66036","DCA","PDX",1544,1501,-3,0,1980,1935,-5,0,1,"Early/On-Time",276,2210,"Afternoon"
2024,10,"Oct",22,2024-10-22,"Tue",3,"B6","JetBlue","B62534","N42640","DCA","MCI",2216,2172,-4,0,2242,2196,-6,0,1,"Early/On-Time",26,206,"Night"
2022,12,"Dec",8,2022-12-08,"Thu",5,"AA","American","AA5062","N87037","DCA","MIA",1821,1824,3,0,1941,1894,-7,0,1,"Early/On-Time",80,640,"Evening"
2021,7,"Jul",11,2021-07-11,"Sun",1,"DL","Delta","DL8794","N71942","DCA","IAH",1700,1748,48,1,1925,1972,47,1,0,"Delayed",145,1157,"Evening"
2020,10,"Oct",20,2020-10-20,"Tue",3,"UA","United","UA3501","N96734","DCA","PDX",1818,1818,0,0,2265,2268,3,0,1,"Slightly Late",287,2296,"Evening"
2022,4,"Apr",8,2022-04-08,"Fri",6,"AS","Alaska","AS5862","N85795","DCA","JAX",2222,2266,44,1,2344,2392,48,1,0,"Delayed",82,656,"Night"
2022,5,"May",9,2022-05-09,"Mon",2,"AA","American","AA131","N11967","DCA","HOU",2152,2153,1,0,2178,2181,3,0,1,"Slightly Late",26,207,"Night"
2020,2,"Feb",10,2020-02-10,"Mon",2,"WN","Southwest","WN2443","N96037","DCA","SAN",1744,1797,53,1,2260,2314,54,1,0,"Delayed",316,2529,"Evening"
2022,1,"Jan",19,2022-01-19,"Wed",4,"B6","JetBlue","B67830","N39743","DCA","IAH",817,825,8,0,1019,1031,12,0,1,"Slightly Late",122,973,"Early Morning"
2023,5,"May",27,2023-05-27,"Sat",7,"AS","Alaska","AS2746","N82889","DCA","MSY",953,906,-7,0,1072,1027,-5,0,1,"Early/On-Time",79,631,"Morning"
2020,4,"Apr",11,2020-04-11,"Sat",7,"AA","American","AA3362","N35809","DCA","SAT",830,784,-6,0,868,821,-7,0,1,"Early/On-Time",38,303,"Early Morning"
2022,9,"Sep",12,2022-09-12,"Mon",2,"AA","American","AA1968","N21320","DCA","EWR",1812,1827,15,0,1858,1873,15,0,1,"Slightly Late",46,369,"Evening"
2022,10,"Oct",30,2022-10-30,"Sun",1,"UA","United","UA7528","N67494","DCA","RNO",943,946,3,0,1059,1062,3,0,1,"Slightly Late",76,604,"Morning"
2021,11,"Nov",5,2021-11-05,"Fri",6,"B6","JetBlue","B68044","N94447","DCA","ABQ",1803,1761,-2,0,1918,1875,-3,0,1,"Early/On-Time",75,597,"Evening"
2021,12,"Dec",31,2021-12-31,"Fri",6,"AS","Alaska","AS9490","N86340","DCA","LAX",803,811,8,0,1303,1313,10,0,1,"Slightly Late",300,2399,"Early Morning"
2023,8,"Aug",14,2023-08-14,"Mon",2,"AS","Alaska","AS4620","N17441","DCA","ABQ",651,608,-3,0,785,786,1,0,1,"Slightly Late",94,754,"Early Morning"
2019,8,"Aug",1,2019-08-01,"Thu",5,"F9","Frontier","F96477","N44962","DCA","CLE",1309,1317,8,0,1355,1366,11,0,1,"Slightly Late",46,368,"Afternoon"
2024,11,"Nov",12,2024-11-12,"Tue",3,"WN","Southwest","WN5917","N56132","DCA","JFK",1523,1481,-2,0,1577,1531,-6,0,1,"Early/On-Time",54,436,"Afternoon"
2022,10,"Oct",4,2022-10-04,"Tue",3,"DL","Delta","DL8593","N62802","DCA","PHL",656,714,58,1,760,808,48,1,0,"Delayed",64,510,"Early Morning"
2019,7,"Jul",4,2019-07-04,"Thu",5,"AA","American","AA1897","N96053","DCA","MIA",1257,1211,-6,0,1407,1407,0,0,1,"Early/On-Time",110,884,"Afternoon"
2020,8,"Aug",8,2020-08-08,"Sat",7,"B6","JetBlue","B68465","N60236","DCA","DFW",1858,1877,19,1,2078,2098,20,1,0,"Delayed",140,1118,"Evening"
2021,9,"Sep",6,2021-09-06,"Mon",2,"DL","Delta","DL8791","N80783","DCA","EWR",1138,1094,-4,0,1240,1192,-8,0,1,"Early/On-Time",62,498,"Morning"
2021,6,"Jun",14,2021-06-14,"Mon",2,"AS","Alaska","AS3983","N79343","DCA","BUF",1118,1240,82,1,1233,1352,79,1,0,"Severely Delayed",75,600,"Morning"
2022,3,"Mar",15,2022-03-15,"Tue",3,"AA","American","AA8291","N50504","DCA","LAX",1838,1795,-3,0,2362,2318,-4,0,1,"Early/On-Time",324,2596,"Evening"
2019,1,"Jan",16,2019-01-16,"Wed",4,"AA","American","AA3686","N20270","DCA","MSY",1652,1604,-8,0,1709,1663,-6,0,1,"Early/On-Time",57,457,"Afternoon"
2019,9,"Sep",7,2019-09-07,"Sat",7,"AA","American","AA7342","N22081","DCA","MIA",704,717,13,0,832,843,11,0,1,"Slightly Late",88,704,"Early Morning"
2020,9,"Sep",28,2020-09-28,"Mon",2,"B6","JetBlue","B67454","N70068","DCA","PHX",1919,1964,45,1,2250,2292,42,1,0,"Delayed",211,1689,"Evening"
2019,3,"Mar",14,2019-03-14,"Thu",5,"AA","American","AA4908","N79352","DCA","LGA",1410,1421,11,0,1462,1488,26,1,0,"Delayed",52,418,"Afternoon"
2021,3,"Mar",11,2021-03-11,"Thu",5,"AA","American","AA6577","N23885","DCA","MEM",830,831,1,0,961,961,0,0,1,"Early/On-Time",91,728,"Early Morning"
2024,4,"Apr",20,2024-04-20,"Sat",7,"UA","United","UA8487","N43046","DCA","DFW",916,918,2,0,1156,1156,0,0,1,"Early/On-Time",160,1276,"Morning"
2024,11,"Nov",26,2024-11-26,"Tue",3,"UA","United","UA2135","N83491","DCA","CHS",1815,1868,53,1,1935,1981,46,1,0,"Delayed",80,639,"Evening"
2020,1,"Jan",25,2020-01-25,"Sat",7,"F9","Frontier","F98825","N60609","DCA","IND",758,771,13,0,875,896,21,1,0,"Delayed",77,619,"Early Morning"
2023,10,"Oct",13,2023-10-13,"Fri",6,"AA","American","AA5763","N60376","DCA","MEM",1706,1710,4,0,1733,1692,-1,0,1,"Early/On-Time",27,218,"Evening"
2020,10,"Oct",12,2020-10-12,"Mon",2,"UA","United","UA4820","N85381","DCA","BUF",846,846,0,0,971,978,7,0,1,"Slightly Late",85,677,"Early Morning"
2023,2,"Feb",8,2023-02-08,"Wed",4,"WN","Southwest","WN5352","N94244","DCA","MSY",1327,1330,3,0,1367,1325,-2,0,1,"Early/On-Time",40,317,"Afternoon"
2019,11,"Nov",16,2019-11-16,"Sat",7,"DL","Delta","DL3562","N64671","DCA","MCO",810,768,-2,0,946,903,-3,0,1,"Early/On-Time",96,764,"Early Morning"
2024,11,"Nov",8,2024-11-08,"Fri",6,"AA","American","AA3650","N89662","DCA","CHS",751,753,2,0,878,836,-2,0,1,"Early/On-Time",87,696,"Early Morning"
2020,3,"Mar",12,2020-03-12,"Thu",5,"B6","JetBlue","B63309","N12730","DCA","PDX",1056,1062,6,0,1493,1500,7,0,1,"Slightly Late",277,2219,"Morning"
2019,6,"Jun",17,2019-06-17,"Mon",2,"AS","Alaska","AS9771","N70506","DCA","PVD",1808,1814,6,0,1919,1878,-1,0,1,"Early/On-Time",71,566,"Evening"
2020,3,"Mar",7,2020-03-07,"Sat",7,"B6","JetBlue","B6964","N98706","DCA","DFW",2151,2105,-6,0,2391,2347,-4,0,1,"Early/On-Time",160,1277,"Night"
2022,8,"Aug",19,2022-08-19,"Fri",6,"F9","Frontier","F96516","N47049","DCA","PHL",1758,1713,-5,0,1793,1797,4,0,1,"Slightly Late",35,280,"Evening"
2023,1,"Jan",18,2023-01-18,"Wed",4,"UA","United","UA4155","N99596","DCA","HOU",1258,1259,1,0,1378,1381,3,0,1,"Slightly Late",80,640,"Afternoon"
2022,8,"Aug",5,2022-08-05,"Fri",6,"DL","Delta","DL2128","N16431","DCA","CLE",1619,1645,26,1,1749,1773,24,1,0,"Delayed",90,722,"Afternoon"
2022,12,"Dec",2,2022-12-02,"Fri",6,"AA","American","AA8095","N27235","DCA","BNA",1923,1977,54,1,2026,2083,57,1,0,"Delayed",63,502,"Evening"
2021,10,"Oct",26,2021-10-26,"Tue",3,"NK","Spirit","NK1040","N23743","DCA","ORD",1711,1663,-8,0,1949,1899,-10,0,1,"Early/On-Time",158,1260,"Evening"
2023,4,"Apr",28,2023-04-28,"Fri",6,"WN","Southwest","WN6831","N62306","DCA","TPA",1213,1172,-1,0,1245,1199,-6,0,1,"Early/On-Time",32,260,"Afternoon"
2022,10,"Oct",9,2022-10-09,"Sun",1,"AA","American","AA5306","N58244","DCA","SAV",715,742,27,1,839,865,26,1,0,"Delayed",84,669,"Early Morning"
2021,7,"Jul",17,2021-07-17,"Sat",7,"B6","JetBlue","B6528","N53859","DCA","ORD",807,941,94,1,1047,1171,84,1,0,"Severely Delayed",160,1284,"Early Morning"
2023,10,"Oct",24,2023-10-24,"Tue",3,"WN","Southwest","WN2094","N54745","DCA","GEG",1250,1207,-3,0,1282,1226,-16,0,1,"Early/On-Time",32,256,"Afternoon"
2020,11,"Nov",22,2020-11-22,"Sun",1,"UA","United","UA5050","N28227","DCA","DFW",1710,1665,-5,0,1868,1821,-7,0,1,"Early/On-Time",118,948,"Evening"
2019,4,"Apr",11,2019-04-11,"Thu",5,"AA","American","AA2276","N15334","DCA","ABQ",1014,968,-6,0,1146,1146,0,0,1,"Early/On-Time",92,734,"Morning"
2019,9,"Sep",12,2019-09-12,"Thu",5,"F9","Frontier","F9794","N79335","DCA","HOU",1230,1231,1,0,1276,1280,4,0,1,"Slightly Late",46,371,"Afternoon"
2020,11,"Nov",7,2020-11-07,"Sat",7,"B6","JetBlue","B64492","N55129","DCA","FLL",1828,1831,3,0,1869,1871,2,0,1,"Slightly Late",41,327,"Evening"
2023,12,"Dec",24,2023-12-24,"Sun",1,"F9","Frontier","F95871","N96601","DCA","DFW",927,882,-5,0,1154,1110,-4,0,1,"Early/On-Time",147,1177,"Morning"
2020,11,"Nov",19,2020-11-19,"Thu",5,"NK","Spirit","NK7980","N26143","DCA","CMH",623,627,4,0,762,765,3,0,1,"Slightly Late",99,793,"Early Morning"
2023,5,"May",17,2023-05-17,"Wed",4,"AA","American","AA6858","N13568","DCA","SFO",1715,1717,2,0,2159,2168,9,0,1,"Slightly Late",284,2276,"Evening"
2024,9,"Sep",4,2024-09-04,"Wed",4,"AA","American","AA2693","N82091","DCA","MIA",1856,1814,-2,0,2007,2011,4,0,1,"Slightly Late",111,887,"Evening"
2024,2,"Feb",29,2024-02-29,"Thu",5,"WN","Southwest","WN7156","N34727","DCA","SFO",832,791,-1,0,1276,1230,-6,0,1,"Early/On-Time",284,2268,"Early Morning"
2021,4,"Apr",4,2021-04-04,"Sun",1,"DL","Delta","DL9967","N37300","DCA","ABQ",1502,1504,2,0,1556,1557,1,0,1,"Slightly Late",54,429,"Afternoon"
2020,4,"Apr",11,2020-04-11,"Sat",7,"AA","American","AA9214","N26291","DCA","MCO",1019,975,-4,0,1139,1090,-9,0,1,"Early/On-Time",80,643,"Morning"
2022,9,"Sep",18,2022-09-18,"Sun",1,"AS","Alaska","AS194","N34910","DCA","IND",1116,1075,-1,0,1219,1175,-4,0,1,"Early/On-Time",63,504,"Morning"
2022,2,"Feb",28,2022-02-28,"Mon",2,"AA","American","AA5366","N27328","DCA","MSP",1423,1430,7,0,1661,1667,6,0,1,"Slightly Late",158,1268,"Afternoon"
2024,3,"Mar",19,2024-03-19,"Tue",3,"B6","JetBlue","B67078","N62125","DCA","STL",710,668,-2,0,817,775,-2,0,1,"Early/On-Time",67,537,"Early Morning"
